id,method,frontend_path,frontend_file,frontend_line,matched_controller,controller_candidates,status,notes
API-0001,GET,/dashboard/layout,apps/frontend/src/hooks/use-dashboard-layout.ts,86,yes,/dashboard/layout @ domains/dashboard/src/api/dashboard.controller.ts:22 | /dashboard/layout/device/:deviceId @ domains/dashboard/src/api/dashboard.controller.ts:54,STATIC_MATCH,Template/dynamic path match is conservative
API-0002,PUT,/dashboard/layout,apps/frontend/src/hooks/use-dashboard-layout.ts,93,yes,/dashboard/layout @ domains/dashboard/src/api/dashboard.controller.ts:29 | /dashboard/layout/device/:deviceId @ domains/dashboard/src/api/dashboard.controller.ts:64,STATIC_MATCH,Template/dynamic path match is conservative
API-0003,POST,/dashboard/layout/reset,apps/frontend/src/hooks/use-dashboard-layout.ts,252,yes,/dashboard/layout/reset @ domains/dashboard/src/api/dashboard.controller.ts:44,STATIC_MATCH,Template/dynamic path match is conservative
API-0004,GET,/jellyfin/servers/:param/items/:param/detail,apps/frontend/src/lib/jellyfin-media-api.ts,140,yes,/jellyfin/servers/:serverId/items/:externalId/media-info @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:59 | /jellyfin/servers/:serverId/items/:externalId/subtitles/:subtitleIndex @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:81 | /jellyfin/servers/:serverId/items/:externalId/stream @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:146 | /jellyfin/servers/:serverId/items/:externalId/image @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:220,STATIC_MATCH,Template/dynamic path match is conservative
API-0005,GET,/jellyfin/servers/:param/continue-watching?limit=:param,apps/frontend/src/lib/jellyfin-media-api.ts,144,yes,/jellyfin/servers/:serverId/items/:externalId/media-info @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:59 | /jellyfin/servers/:serverId/items/:externalId/subtitles/:subtitleIndex @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:81 | /jellyfin/servers/:serverId/items/:externalId/stream @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:146 | /jellyfin/servers/:serverId/items/:externalId/image @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:220,STATIC_MATCH,Template/dynamic path match is conservative
API-0006,GET,/jellyfin/servers/:param/items/:param/similar?limit=:param,apps/frontend/src/lib/jellyfin-media-api.ts,148,yes,/jellyfin/servers/:serverId/items/:externalId/media-info @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:59 | /jellyfin/servers/:serverId/items/:externalId/subtitles/:subtitleIndex @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:81 | /jellyfin/servers/:serverId/items/:externalId/stream @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:146 | /jellyfin/servers/:serverId/items/:externalId/image @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:220,STATIC_MATCH,Template/dynamic path match is conservative
API-0007,GET,/jellyfin/servers/:param/items/:param/people,apps/frontend/src/lib/jellyfin-media-api.ts,152,yes,/jellyfin/servers/:serverId/items/:externalId/media-info @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:59 | /jellyfin/servers/:serverId/items/:externalId/subtitles/:subtitleIndex @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:81 | /jellyfin/servers/:serverId/items/:externalId/stream @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:146 | /jellyfin/servers/:serverId/items/:externalId/image @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:220,STATIC_MATCH,Template/dynamic path match is conservative
API-0008,GET,/jellyfin/servers/:param/search-media?q=:param&limit=:param,apps/frontend/src/lib/jellyfin-media-api.ts,156,yes,/jellyfin/servers/:serverId/items/:externalId/media-info @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:59 | /jellyfin/servers/:serverId/items/:externalId/subtitles/:subtitleIndex @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:81 | /jellyfin/servers/:serverId/items/:externalId/stream @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:146 | /jellyfin/servers/:serverId/items/:externalId/image @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:220,STATIC_MATCH,Template/dynamic path match is conservative
API-0009,GET,/jellyfin/servers/:param/items/:param/children,apps/frontend/src/lib/jellyfin-media-api.ts,160,yes,/jellyfin/servers/:serverId/items/:externalId/media-info @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:59 | /jellyfin/servers/:serverId/items/:externalId/subtitles/:subtitleIndex @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:81 | /jellyfin/servers/:serverId/items/:externalId/stream @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:146 | /jellyfin/servers/:serverId/items/:externalId/image @ domains/jellyfin/src/api/jellyfin-stream.controller.ts:220,STATIC_MATCH,Template/dynamic path match is conservative
API-0010,POST,/jellyfin/servers/:param/items/:param/toggle-watched,apps/frontend/src/lib/jellyfin-media-api.ts,164,yes,/jellyfin/servers @ domains/jellyfin/src/api/jellyfin.controller.ts:18 | /jellyfin/servers/:id/sync @ domains/jellyfin/src/api/jellyfin.controller.ts:47 | /jellyfin/servers/:serverId/playlists @ domains/jellyfin/src/api/jellyfin.controller.ts:256 | /jellyfin/servers/:serverId/playlists/:playlistId/items @ domains/jellyfin/src/api/jellyfin.controller.ts:267,STATIC_MATCH,Template/dynamic path match is conservative
