id,kind,token,source_file,line,risk,status
TOK-00001,semantic-token,text-fg,apps/frontend/src/app/(dashboard)/calendar/page.tsx,52,Preferred semantic design-system token,CODE_CONFIRMED
TOK-00002,static-color,bg-black/50,apps/frontend/src/app/(dashboard)/contacts/page.tsx,92,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00003,static-color,bg-white,apps/frontend/src/app/(dashboard)/contacts/page.tsx,94,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00004,static-color,bg-zinc-900,apps/frontend/src/app/(dashboard)/contacts/page.tsx,94,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00005,static-color,border-zinc-300,apps/frontend/src/app/(dashboard)/contacts/page.tsx,102,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00006,static-color,border-zinc-700,apps/frontend/src/app/(dashboard)/contacts/page.tsx,102,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00007,static-color,ring-amber-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,102,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00008,static-color,border-zinc-300,apps/frontend/src/app/(dashboard)/contacts/page.tsx,112,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00009,static-color,border-zinc-700,apps/frontend/src/app/(dashboard)/contacts/page.tsx,112,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00010,static-color,ring-amber-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,112,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00011,static-color,border-zinc-300,apps/frontend/src/app/(dashboard)/contacts/page.tsx,121,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00012,static-color,border-zinc-700,apps/frontend/src/app/(dashboard)/contacts/page.tsx,121,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00013,static-color,ring-amber-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,121,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00014,static-color,border-zinc-300,apps/frontend/src/app/(dashboard)/contacts/page.tsx,130,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00015,static-color,border-zinc-700,apps/frontend/src/app/(dashboard)/contacts/page.tsx,130,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00016,static-color,ring-amber-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,130,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00017,static-color,ring-amber-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,144,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00018,static-color,text-red-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,151,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00019,static-color,bg-amber-600,apps/frontend/src/app/(dashboard)/contacts/page.tsx,155,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00020,static-color,bg-amber-700,apps/frontend/src/app/(dashboard)/contacts/page.tsx,155,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00021,static-color,text-white,apps/frontend/src/app/(dashboard)/contacts/page.tsx,155,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00022,static-color,border-zinc-200,apps/frontend/src/app/(dashboard)/contacts/page.tsx,173,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00023,static-color,border-zinc-800,apps/frontend/src/app/(dashboard)/contacts/page.tsx,173,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00024,static-color,bg-white,apps/frontend/src/app/(dashboard)/contacts/page.tsx,173,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00025,static-color,bg-zinc-900,apps/frontend/src/app/(dashboard)/contacts/page.tsx,173,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00026,static-color,text-white,apps/frontend/src/app/(dashboard)/contacts/page.tsx,177,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00027,static-color,text-zinc-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,185,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00028,static-color,text-zinc-400,apps/frontend/src/app/(dashboard)/contacts/page.tsx,185,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00029,static-color,bg-zinc-100,apps/frontend/src/app/(dashboard)/contacts/page.tsx,194,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00030,static-color,bg-zinc-800,apps/frontend/src/app/(dashboard)/contacts/page.tsx,194,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00031,static-color,text-zinc-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,194,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00032,static-color,text-zinc-400,apps/frontend/src/app/(dashboard)/contacts/page.tsx,194,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00033,static-color,text-zinc-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,201,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00034,static-color,text-zinc-400,apps/frontend/src/app/(dashboard)/contacts/page.tsx,201,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00035,static-color,text-red-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,201,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00036,static-color,bg-red-50,apps/frontend/src/app/(dashboard)/contacts/page.tsx,201,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00037,static-color,bg-red-950,apps/frontend/src/app/(dashboard)/contacts/page.tsx,201,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00038,static-color,text-zinc-600,apps/frontend/src/app/(dashboard)/contacts/page.tsx,208,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00039,static-color,text-zinc-400,apps/frontend/src/app/(dashboard)/contacts/page.tsx,208,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00040,static-color,text-amber-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,211,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00041,static-color,text-amber-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,217,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00042,static-color,text-zinc-400,apps/frontend/src/app/(dashboard)/contacts/page.tsx,222,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00043,static-color,text-zinc-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,226,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00044,static-color,text-zinc-400,apps/frontend/src/app/(dashboard)/contacts/page.tsx,226,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00045,static-color,text-zinc-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,267,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00046,static-color,text-zinc-400,apps/frontend/src/app/(dashboard)/contacts/page.tsx,267,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00047,static-color,bg-amber-600,apps/frontend/src/app/(dashboard)/contacts/page.tsx,273,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00048,static-color,bg-amber-700,apps/frontend/src/app/(dashboard)/contacts/page.tsx,273,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00049,static-color,text-white,apps/frontend/src/app/(dashboard)/contacts/page.tsx,273,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00050,static-color,text-zinc-400,apps/frontend/src/app/(dashboard)/contacts/page.tsx,281,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00051,static-color,border-zinc-300,apps/frontend/src/app/(dashboard)/contacts/page.tsx,283,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00052,static-color,border-zinc-700,apps/frontend/src/app/(dashboard)/contacts/page.tsx,283,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00053,static-color,ring-amber-500,apps/frontend/src/app/(dashboard)/contacts/page.tsx,283,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00054,static-color,border-zinc-200,apps/frontend/src/app/(dashboard)/contacts/page.tsx,293,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00055,static-color,border-zinc-800,apps/frontend/src/app/(dashboard)/contacts/page.tsx,293,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00056,static-color,bg-white,apps/frontend/src/app/(dashboard)/contacts/page.tsx,293,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00057,static-color,bg-zinc-900,apps/frontend/src/app/(dashboard)/contacts/page.tsx,293,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00058,static-color,bg-zinc-200,apps/frontend/src/app/(dashboard)/contacts/page.tsx,295,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00059,static-color,bg-zinc-800,apps/frontend/src/app/(dashboard)/contacts/page.tsx,295,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00060,static-color,bg-zinc-200,apps/frontend/src/app/(dashboard)/contacts/page.tsx,297,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00061,static-color,bg-zinc-800,apps/frontend/src/app/(dashboard)/contacts/page.tsx,297,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00062,static-color,bg-zinc-200,apps/frontend/src/app/(dashboard)/contacts/page.tsx,298,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00063,static-color,bg-zinc-800,apps/frontend/src/app/(dashboard)/contacts/page.tsx,298,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
TOK-00064,static-color,border-red-200,apps/frontend/src/app/(dashboard)/contacts/page.tsx,305,Review light/dark contrast and accent bypass,REVIEW_REQUIRED
