id,route,kind,source_file,line,snippet,expected_behavior,status,evidence,notes
INT-00001,/contacts,click-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,92,"<div className=""fixed inset-0 z-50 flex items-center justify-center bg-black/50"" onClick={onClose}>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:92,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00002,/contacts,click-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,95,onClick={(e) => e.stopPropagation()},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:95,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00003,/contacts,input,apps/frontend/src/app/(dashboard)/contacts/page.tsx,101,<input,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:101,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00004,/contacts,change-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,105,onChange={(e) => setName(e.target.value)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:105,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00005,/contacts,input,apps/frontend/src/app/(dashboard)/contacts/page.tsx,110,<input,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:110,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00006,/contacts,change-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,115,onChange={(e) => setEmail(e.target.value)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:115,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00007,/contacts,input,apps/frontend/src/app/(dashboard)/contacts/page.tsx,120,<input,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:120,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00008,/contacts,change-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,124,onChange={(e) => setPhone(e.target.value)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:124,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00009,/contacts,textarea,apps/frontend/src/app/(dashboard)/contacts/page.tsx,129,<textarea,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:129,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00010,/contacts,change-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,133,onChange={(e) => setNotes(e.target.value)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:133,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00011,/contacts,button,apps/frontend/src/app/(dashboard)/contacts/page.tsx,140,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:140,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00012,/contacts,click-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,143,onClick={() => setColor(color === c ? '' : c)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:143,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00013,/contacts,button,apps/frontend/src/app/(dashboard)/contacts/page.tsx,152,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:152,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00014,/contacts,click-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,153,onClick={() => mutation.mutate()},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:153,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00015,/contacts,button,apps/frontend/src/app/(dashboard)/contacts/page.tsx,192,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:192,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00016,/contacts,click-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,193,onClick={onEdit},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:193,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00017,/contacts,button,apps/frontend/src/app/(dashboard)/contacts/page.tsx,199,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:199,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00018,/contacts,click-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,200,onClick={onDelete},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:200,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00019,/contacts,button,apps/frontend/src/app/(dashboard)/contacts/page.tsx,271,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:271,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00020,/contacts,click-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,272,onClick={() => { setEditing(null); setShowForm(true); }},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:272,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00021,/contacts,input,apps/frontend/src/app/(dashboard)/contacts/page.tsx,282,<input,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:282,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00022,/contacts,change-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,286,onChange={(e) => setSearch(e.target.value)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:286,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00023,/contacts,button,apps/frontend/src/app/(dashboard)/contacts/page.tsx,308,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:308,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00024,/contacts,click-handler,apps/frontend/src/app/(dashboard)/contacts/page.tsx,309,onClick={() => refetch()},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/contacts/page.tsx:309,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00025,/dashboard,button,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,53,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:53,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00026,/dashboard,click-handler,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,54,onClick={() => setEditMode(!editMode)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:54,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00027,/dashboard,button,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,62,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:62,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00028,/dashboard,click-handler,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,63,onClick={() => setTvEditorOpen(true)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:63,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00029,/dashboard,button,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,71,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:71,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00030,/dashboard,click-handler,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,72,onClick={() => void resetLayout()},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:72,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00031,/dashboard,button,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,81,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:81,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00032,/dashboard,click-handler,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,82,onClick={handleLogout},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:82,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00033,/dashboard,button,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,97,"<button onClick={() => void retry()} className=""rounded-md bg-brand-500 px-4 py-2 text-sm text-white hover:bg-brand-600"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:97,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00034,/dashboard,click-handler,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,97,"<button onClick={() => void retry()} className=""rounded-md bg-brand-500 px-4 py-2 text-sm text-white hover:bg-brand-600"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/dashboard/page.tsx:97,Source-inventoried and route rendered; control not individually mutated during safe audit
