Area,State,Route,Viewport,Coverage,FunctionalStatus,Network404s,ScreenshotFile,EvidencePath,Notes
Jellyfin Musik,mobile-album-detail,/jellyfin/music/album/f1dc98b7928902e300109e55f4012ec7,375x812,REAL_ID,CAPTURED,0,mobile-album-detail__375x812.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/mobile-album-detail__375x812.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Musik,mobile-music-home,/jellyfin/music,375x812,STATIC_OR_TAB,FAIL_RESPONSIVE,9,mobile-music-home__375x812.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/mobile-music-home__375x812.png,Permanente Musik-Sidebar und Player komprimieren/überlagern den Inhalt.
Jellyfin Musik,mobile-music-library,/jellyfin/music/library,375x812,STATIC_OR_TAB,FAIL_RESPONSIVE,10,mobile-music-library__375x812.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/mobile-music-library__375x812.png,Permanente Musik-Sidebar und Player komprimieren/überlagern den Inhalt.
Jellyfin Musik,mobile-nowplaying,/jellyfin/music/tracks,375x812,STATIC_OR_TAB,FAIL_RESPONSIVE,10,mobile-nowplaying__375x812.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/mobile-nowplaying__375x812.png,Permanente Musik-Sidebar und Player komprimieren/überlagern den Inhalt.
Jellyfin Musik,music-after-play,/jellyfin/music/tracks,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,15,music-after-play__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-after-play__1440x1000.png,15 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-after-real-double-click,/jellyfin/music/tracks,1440x1000,STATIC_OR_TAB,CAPTURED,0,music-after-real-double-click__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-after-real-double-click__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Musik,music-after-trusted-double-click,/jellyfin/music/tracks,1440x1000,STATIC_OR_TAB,CAPTURED,0,music-after-trusted-double-click__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-after-trusted-double-click__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Musik,music-after-trusted-play,/jellyfin/music/tracks,1440x1000,STATIC_OR_TAB,PASS_INTERACTION,0,music-after-trusted-play__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-after-trusted-play__1440x1000.png,Echter CDP-Klick: Pause-Status und fortschreitende Zeit verifiziert.
Jellyfin Musik,music-album-detail,/jellyfin/music/album/f1dc98b7928902e300109e55f4012ec7,1440x1000,REAL_ID,CAPTURED,0,music-album-detail__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-album-detail__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Musik,music-albums,/jellyfin/music/albums,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,3,music-albums__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-albums__1440x1000.png,3 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-artist-detail,/jellyfin/music/artist/b0dc956408d98e0fcfdc7005cfd8faaa,1440x1000,REAL_ID,PARTIAL_IMAGE_404,74,music-artist-detail__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-artist-detail__1440x1000.png,74 Bild-404s während dieser Route erfasst.
Jellyfin Musik,music-artists,/jellyfin/music/artists,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,34,music-artists__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/music-artists__1440x1000.png,34 Bild-404s während dieser Route erfasst.
