Area,State,Route,Viewport,Coverage,FunctionalStatus,Network404s,ScreenshotFile,EvidencePath,Notes
Jellyfin Filme & Serien,mobile-movie-detail,/jellyfin/movies/c69cd8718ec43146d7460382ec37520e,375x812,REAL_ID,CAPTURED,0,mobile-movie-detail__375x812.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/mobile-movie-detail__375x812.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,mobile-player,/jellyfin/watch/c69cd8718ec43146d7460382ec37520e,375x812,REAL_ID,FAIL_PLAYBACK,0,mobile-player__375x812.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/mobile-player__375x812.png,Realer Stream endet mit Wiedergabefehler / ERR_BLOCKED_BY_ORB.
Jellyfin Filme & Serien,mobile-series-detail,/jellyfin/series/85a3dae4ebd9f4fd8093e5a419028893,375x812,REAL_ID,CAPTURED,0,mobile-series-detail__375x812.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/mobile-series-detail__375x812.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,mobile-video-home,/jellyfin,375x812,STATIC_OR_TAB,PARTIAL_IMAGE_404,1,mobile-video-home__375x812.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/mobile-video-home__375x812.png,1 Bild-404s während dieser Route erfasst.
Jellyfin Filme & Serien,video-browse,/jellyfin/browse,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,1,video-browse__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-browse__1440x1000.png,1 Bild-404s während dieser Route erfasst.
Jellyfin Filme & Serien,video-collections,/jellyfin/collections,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-collections__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-collections__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-favorites,/jellyfin/favorites,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-favorites__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-favorites__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-grid-all-return,/jellyfin/browse,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-grid-all-return__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-grid-all-return__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-grid-all,/jellyfin/browse,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-grid-all__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-grid-all__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-grid-movies,/jellyfin/browse,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-grid-movies__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-grid-movies__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-grid-series,/jellyfin/browse,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-grid-series__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-grid-series__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-home,/jellyfin,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,1,video-home__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-home__1440x1000.png,1 Bild-404s während dieser Route erfasst.
Jellyfin Filme & Serien,video-movie-detail,/jellyfin/movies/c69cd8718ec43146d7460382ec37520e,1440x1000,REAL_ID,CAPTURED,0,video-movie-detail__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-movie-detail__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-movies,/jellyfin/movies,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-movies__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-movies__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-photos,/jellyfin/photos,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-photos__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-photos__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-player,/jellyfin/watch/c69cd8718ec43146d7460382ec37520e,1440x1000,REAL_ID,FAIL_PLAYBACK,0,video-player__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-player__1440x1000.png,Realer Stream endet mit Wiedergabefehler / ERR_BLOCKED_BY_ORB.
Jellyfin Filme & Serien,video-search-results,/jellyfin/search,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-search-results__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-search-results__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-search,/jellyfin/search,1440x1000,STATIC_OR_TAB,CAPTURED,0,video-search__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-search__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-series-detail,/jellyfin/series/85a3dae4ebd9f4fd8093e5a419028893,1440x1000,REAL_ID,CAPTURED,0,video-series-detail__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-series-detail__1440x1000.png,Route/Zustand visuell erfasst; kein vollständiger Mutationstest behauptet.
Jellyfin Filme & Serien,video-series,/jellyfin/series,1440x1000,STATIC_OR_TAB,PARTIAL_IMAGE_404,7,video-series__1440x1000.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/jellyfin-deep/video-series__1440x1000.png,7 Bild-404s während dieser Route erfasst.
